BURER2002,BUR02
DESOUSA2013,DESOU13
DUARTE2005,DUA05
FESTA2002G,FES02G
FESTA2002GPR,FES02GP
FESTA2002GVNS,FES02GV
FESTA2002GVNSPR,FES02GVP
FESTA2002VNS,FES02V
FESTA2002VNSPR,FES02VP
LAGUNA2009CE,LAG09CE
LAGUNA2009HCE,LAG09HCE
ALKHAMIS1998,ALK98
BEASLEY1998SA,BEA98SA
BEASLEY1998TS,BEA98TS
GLOVER1998a,GLO98
GLOVER2010,GLO10
HASAN2000GA,HAS00GA
HASAN2000TS,HAS00TS
KATAYAMA2000,KAT00
KATAYAMA2001,KAT01
LODI1999,LOD99
LU2010,LU10
MERZ1999CROSS,MER99CR
MERZ1999GLS,MER99LS
MERZ1999MUTATE,MER99MU
MERZ2002GREEDY,MER02GR
MERZ2002GREEDYKOPT,MER02GRK
MERZ2002KOPT,MER02LSK
MERZ2002ONEOPT,MER02LS1
MERZ2004,MER04
PALUBECKIS2004bMST1,PAL04T1
PALUBECKIS2004bMST2,PAL04T2
PALUBECKIS2004bMST3,PAL04T3
PALUBECKIS2004bMST4,PAL04T4
PALUBECKIS2004bMST5,PAL04T5
PALUBECKIS2004bSTS,PAL04MT
PALUBECKIS2006,PAL06
PARDALOS2008,PAR08
NN-SSS,NN-SSS
P-SSS,P-SSS
HH,HH
SELBY,SELBY
DWAVE,DWAVE